name,availabilityVendorId,ordersVendorId
"Zy Zaman Fruits And Vegetables, El Kothar",758655,60124
"Zone Mart, Zahraa El Maadi - Ashgar Darna",763338,60760
"Zone Mart, Masaken Sheraton - Fairmont Heliopolis",776162,62855
"Zone Mart,  Haram - Wimpy",758428,60117
"zima pet center, Tagammoa 5 - El Yasmeen 4",768026,61111
"Zima Pet Center, El Rehab City 2",768306,61502
"Zima Pet Center, El Rehab City 1",768311,61110
"Zikry Pharmacy, Mokattam - Masaken Al Abd",782078,63621
"ZIKRY Pharmacies, Tagammoa 1 - The Districts",706102,61725
"Zikry Pharmacies, Nasr City - Makram Ebeid 2",706140,21849
"ZIKRY Pharmacies, Nasr City - Makram Ebeid",772458,61647
"ZIKRY Pharmacies, Mohandesin - Mit Okba",772448,61673
"Zikry Pharmacies, Mohandesin - Jazerat El Arab",706151,21848
"ZIKRY Pharmacies, Heliopolis - Baron",772449,61717
"Ziko candy palace, Semouha – Semouha Sporting Club",772838,61630
"Ziko candy palace, Ibrahimia 2",721022,35543
"Zien Market, Nasr City - Zahraa",790566,65312
"Zidan Market, Tagammoa 5 - Hay 2",779971,63403
"Zidan Market, Mokattam - El Mafarik",654663,29473
"Zidan Market, 6th of October - Palm Hills",718888,35545
"Zee Mart, Tagammoa 5 - El Banafseg Buildings",771557,61452
"Zayed, El Magzar",746627,52187
"Zayed Market Serga, El Sheikh Zayed - El Hay 6",775689,62109
"ZAMZAM PHARMACY, Maadi - Cournich Tura",743397,50526
"Zalabany Pharmacy, El Gaish",715897,29966
"Zaki, Ard El Golf",705219,20743
"ZAIN MARKET, Manshayt El Bakry",765169,60778
"Zahrat Al Miraj Market, Zahraa El Maadi - El Me'arag El Ouloy",785067,63989
"Zahran Market,mansoura",688043,18489
"Zahran Market, Zezinia 2",688048,18497
"Zahran Market, Zagazig",688052,18493
"Zahran Market, Tanta",688050,18494
"Zahran Market, Tagammoa 5 - South Investors",731736,43309
"Zahran Market, Semouha - Modereyt El Amn El Gadeda",688049,18495
"Zahran Market, Pharaohs",735575,45184
"Zahran Market, Mahalla",712378,26270
"Zahran Market, Maamoura",688047,18498
"Zahran Market, El Sheikh Zayed - El Hay 6",754779,58709
"Zahran Market, El Madina Sena'eya Wel Togarya",757063,60131
"Zahran Market, Damietta",688461,18500
"Zahran Market, Agamy - Bitash",688051,18499
"Zaher Dairy & Market, Tagammoa 5 - Hay 2",513473,17406
"Zaher Dairy & Market, Tagammoa 1 TMP",684457,17973
"Zaher Dairy & Market, Tagammoa 1 TGO",513472,17405
"Zaher Dairy & Market, Mokattam - 9 st.",645945,17216
"Zaher Dairy & Market, Madinaty - Green Belt",725339,40203
"Zaher Dairy & Market, Heliopolis - Hegaz Square",513471,17217
"Zaher Dairy & Market, Gardenia city compound",723460,61134
"Zaher Dairy & Market, El Katameya 2",685287,18097
"Zaher Dairy & Market, El Katameya",513474,17215
"Zaher Dairy & Market, Ain Shams - Helmyat El Na'am",678877,17408
"Zaher Dairy & Market, Ain Shams - El Zahraa w Masaken El Helmya",678876,17407
Zaher Dairy & Market - Nasr City - Makram Ebeid,672587,17218
"Zad, Ibrahimia",660124,15891
"Zad Market, Lauran",750280,55772
"Zad market, Ibrahimia",761264,60380
"Zad market, Fleming - Gianaclis",760914,60363
"Zad El Kheir, El Thanaweya",772714,61566
"Z Mart, Mokattam - Al Jazzera Higher Institute",694946,19077
"Yummy & Saif Market,Heliopolis - Mahkama Square",681585,17660
"YOUNES PHARMACY, El Sheikh Zayed - El Hay 13",787705,64486
"Yehia, Zahraa El Maadi - Ebad El Rahman",785001,63934
"Yehia, Tagammoa 3 - El Shabab",785053,64024
"Yassin Pharmacy, Tagammoa 5 - Hay 3",720168,34718
"Yasser Shabana Pharmacies, Mohandesin - Al Kit Kat",768497,61142
"Yasser Mamoun Pharmacy, Heliopolis - Maqreezi",755408,59449
"Yasser Mamoun Pharmacy, Heliopolis - Ismailia Square",755302,59447
"Yasser Abouomira Pharmacy, El Sheikh Zayed - El Hay 9",732506,43472
"Yasser Abouomira Pharmacy, 6th of October - 2nd District",691373,18811
"Yasmin Pharmacy, Nasr City - El Tayaran",758325,60220
"Yasmin Aly Pharmacy, Hadyek Elmaadi 3",745836,52019
"Yasein Pharmacy, Helwan",748441,54461
"Yaaqoub Pharmacy, El Sheikh Zayed - El Hay 2",778358,63225
"Y Mart, Stanly",746403,51945
"wmart, El Shouyfat TMP",716644,30758
"wmart, El Shouyfat TGO",695169,19069
"wmart, El Rehab City 2 TGO",716154,30232
"wmart, Banafseg TMP",716645,30759
"wmart, Banafseg TGO",695171,19070
"wmart,  El Rehab City 2 TMP",730578,46044
"Wlad Al-Aam,  Shobra - El Sahel",711332,26105
"White, Zahraa El Maadi - Al Kuwaiti",737008,46147
"White Plus Pharmacy, Tagammoa 5 - 90 St. Companies - 2",774476,61817
"White Pharmacy, Hadayek El Ahram - Area ز",725279,39701
"Wellness, Salah Salem",760283,60359
"Wellness, El Malaqah",760341,60357
"Wellness, 2nd District",760343,60358
"Well Care Pharmacy, Hadayek El Ahram - Area B",753878,58851
"Wekalet El Mansoura, hay el gamaa",687052,18352
"Wekalet El Mansoura, El Mokhtalat",687053,18354
"Wekalet El Mansoura, El Mashaya",687050,18350
"Wekalet El Mansoura, Al Bahr Al Azam",687051,18353
"Waznan Foods,6th of October - 1st District - Cairo",648731,15889
"Way Market, Ard El Golf 2",726975,40928
"Waves Pharmacies, Zagazig University",714591,29043
"Waves Life Care Pharmacy, Madinaty - Work Shops",778398,63220
"water melon, El Sheikh Zayed - El Hay 13",788706,64671
"Waly Pharmacy, Hadayek El Ahram - Area 3",755400,59105
"WALMART, El Rehab City 2",764043,60685
"Walaa Tharwat Pharmacy, El Hesseneya",764045,60689
"Wael Samir Pharmacies, Shobra - El Sahel",748285,53892
"Wael Samir Pharmacies, Kafr El Saraya",748282,53891
"Wael Samir Pharmacies, Ard El Golf",748537,53893
"Wael Pharmacy, Ard El Gam'iyat",784428,63973
"Wadie Pharmacies, Haram - Omraniya Gharbeya 1",758062,59940
"Wadie Pharmacies 2, Haram - Omraniya Gharbeya 1",758795,60133
"Wa Store, 4th District",755417,59452
"W Market, Nasr City - Zahraa",790787,65124
"Vida Sana, Tagammoa 5 - Hay 3",695623,19114
"Vegetables and Fruits Kayan, El Sheikh Zayed - El Hay 13",766056,60958
"Vegetables & Fruits – Nagmet Salah El Din, Heliopolis - Ismailia Square",773162,61716
"United Pharmacy, New Maadi - Palestine Square",788834,64659
"Twenty One, Tagammoa 5 - South Investors",765999,60885
"Twenty One, Madinaty - Work Shops",733368,44289
"Trolly Hyper, 5th District",781991,63627
"Tranzit Hyper, Ahmed Maher",755737,59451
"Top Pet, El Shorouk - City Center",768613,61153
"Top Pet, El Obour - El Hay 3",768997,61154
"Top One Market, Mokattam - El Andalus-1",724934,39866
"TOP MARKET,El Sheikh Zayed - El Hay 1",653284,15884
"Tiba Pharmacy, Hadayek El Ahram - Area A",760749,60400
